"","team","team_id"
"1","Abilene Christian","2000"
"2","Air Force","2005"
"3","Akron","2006"
"4","Alabama A&M","2010"
"5","Alabama","333"
"6","Alabama State","2011"
"7","Albany","399"
"8","Alcorn State","2016"
"9","American University","44"
"10","Appalachian State","2026"
"11","Arizona State","9"
"12","Arizona","12"
"13","Arkansas","8"
"14","Arkansas State","2032"
"15","Arkansas-Pine Bluff","2029"
"16","Army","349"
"17","Auburn","2"
"18","Austin Peay","2046"
"19","BYU","252"
"20","Ball State","2050"
"21","Baylor","239"
"22","Bellarmine","91"
"23","Belmont","2057"
"24","Bethune-Cookman","2065"
"25","Binghamton","2066"
"26","Boise State","68"
"27","Boston College","103"
"28","Boston University","104"
"29","Bowling Green","189"
"30","Bradley","71"
"31","Brown","225"
"32","Bryant","2803"
"33","Bucknell","2083"
"34","Buffalo","2084"
"35","Butler","2086"
"36","CSU Bakersfield","2934"
"37","CSU Fullerton","2239"
"38","CSU Northridge","2463"
"39","Cal Poly","13"
"40","California Baptist","2856"
"41","California","25"
"42","Campbell","2097"
"43","Canisius","2099"
"44","Central Arkansas","2110"
"45","Central Connecticut","2115"
"46","Central Michigan","2117"
"47","Charleston","232"
"48","Charleston Southern","2127"
"49","Charlotte","2429"
"50","Chattanooga","236"
"51","Chicago State","2130"
"52","Cincinnati","2132"
"53","Clemson","228"
"54","Cleveland State","325"
"55","Coastal Carolina","324"
"56","Colgate","2142"
"57","Colorado","38"
"58","Colorado State","36"
"59","Columbia","171"
"60","Coppin State","2154"
"61","Cornell","172"
"62","Creighton","156"
"63","Dartmouth","159"
"64","Davidson","2166"
"65","Dayton","2168"
"66","DePaul","305"
"67","Delaware","48"
"68","Delaware State","2169"
"69","Denver","2172"
"70","Detroit Mercy","2174"
"71","Dixie State","3101"
"72","Drake","2181"
"73","Drexel","2182"
"74","Duke","150"
"75","Duquesne","2184"
"76","East Carolina","151"
"77","East Tennessee State","2193"
"78","Eastern Illinois","2197"
"79","Eastern Kentucky","2198"
"80","Eastern Michigan","2199"
"81","Eastern Washington","331"
"82","Elon","2210"
"83","Evansville","339"
"84","Fairfield","2217"
"85","Fairleigh Dickinson","161"
"86","Florida A&M","50"
"87","Florida Atlantic","2226"
"88","Florida","57"
"89","Florida Gulf Coast","526"
"90","Florida International","2229"
"91","Florida State","52"
